gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,-0.43991649313097614,1,0,-1.2774445836787656,0,1,-1.1603229160349193,-0.9942419353101233,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1,-0.43991649313097614,0,0,0.06632741908223598,1,0,-0.2596289419448806,-0.17324412574959375,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
1,-0.43991649313097614,0,0,-1.2367242199587352,1,1,-0.3626603559551803,-0.9596740712020441,1,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
1,-0.43991649313097614,0,0,0.5142514200025698,0,0,-0.7465354629935549,-0.19476626336477718,0,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
0,-0.43991649313097614,0,0,-1.2367242199587352,1,1,0.19736523310080326,-0.9404697022531111,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,-0.43991649313097614,0,0,-0.9924020376385531,1,1,1.1595456961969886,-0.6451859741727949,1,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
1,-0.43991649313097614,0,1,-0.4223169455581282,1,1,0.8089065291619363,-0.14679948896704018,0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
0,-0.43991649313097614,0,0,-0.9109613101984924,0,0,-1.1636465100352518,-0.8741373704237511,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,-0.43991649313097614,1,0,-0.1779947632379461,1,1,1.330710787214099,0.3373492744317471,1,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False
1,-0.43991649313097614,0,1,1.2064976032430856,1,0,-0.28621769394753876,0.5324391741681479,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
